iperflog 1.0 parse: bench/2026-09-26b/D3-TR1-S1.log -- 64 lines, 1 trial(s)
trial 1  lines 27-64  tcp  board receives  stream [  6] 10.1.1.3:5201 <- 10.1.1.2:60662 (line 28)
   line  row      interval      transfer      bandwidth         jitter     lost/total   status
     30  interval   0.00-1.00   1.77 MBytes   14885 Kbits/sec   -          -            kept
     31  interval   1.00-2.02   2.07 MBytes   16990 Kbits/sec   -          -            kept
     32  interval   2.02-3.01   1.85 MBytes   15703 Kbits/sec   -          -            kept
     33  interval   3.01-4.01   2.01 MBytes   16820 Kbits/sec   -          -            kept
     34  interval   4.01-5.02   1.57 MBytes   13052 Kbits/sec   -          -            kept
     35  interval   5.02-6.02   1.83 MBytes   15317 Kbits/sec   -          -            kept
     36  interval   6.02-7.02   1.94 MBytes   16284 Kbits/sec   -          -            kept
     37  interval   7.02-8.02   2.01 MBytes   16889 Kbits/sec   -          -            kept
     38  interval   8.02-9.02   2.01 MBytes   16820 Kbits/sec   -          -            kept
     39  interval   9.02-10.02  2.01 MBytes   16820 Kbits/sec   -          -            kept
     40  interval  10.02-11.01  2.01 MBytes   17012 Kbits/sec   -          -            kept
     41  interval  11.01-12.00  2.00 MBytes   16967 Kbits/sec   -          -            kept
     42  interval  12.00-13.01  2.01 MBytes   16653 Kbits/sec   -          -            kept
     43  interval  13.01-14.00  2.01 MBytes   16990 Kbits/sec   -          -            kept
     44  interval  14.00-15.01  2.07 MBytes   17180 Kbits/sec   -          -            kept
     45  interval  15.01-16.00  2.00 MBytes   16968 Kbits/sec   -          -            kept
     46  interval  16.00-17.03  1.87 MBytes   15250 Kbits/sec   -          -            kept
     47  interval  17.03-18.01  1.83 MBytes   15698 Kbits/sec   -          -            kept
     48  interval  18.01-19.02  1.58 MBytes   13121 Kbits/sec   -          -            kept
     49  interval  19.02-20.00  1.84 MBytes   15792 Kbits/sec   -          -            kept
     50  interval  20.00-21.02  2.01 MBytes   16490 Kbits/sec   -          -            kept
     51  interval  21.02-22.01  1.95 MBytes   16487 Kbits/sec   -          -            kept
     52  interval  22.01-23.00  1.81 MBytes   15296 Kbits/sec   -          -            kept
     53  interval  23.00-24.02  1.86 MBytes   15330 Kbits/sec   -          -            kept
     54  interval  24.02-25.01  2.01 MBytes   17012 Kbits/sec   -          -            kept
     55  interval  25.01-26.00  2.01 MBytes   17051 Kbits/sec   -          -            kept
     56  interval  26.00-27.01  2.00 MBytes   16650 Kbits/sec   -          -            kept
     57  interval  27.01-28.02  1.91 MBytes   15885 Kbits/sec   -          -            kept
     58  interval  28.02-29.01  1.71 MBytes   14462 Kbits/sec   -          -            kept
     59  interval  29.01-29.87  1.57 MBytes   15275 Kbits/sec   -          -            kept
     62  summary    0.00-29.87  0.00 Bytes    0.00 Kbits/sec    -          -            TEST_END sender
     63  summary    0.00-29.87  57.1 MBytes   16040 Kbits/sec   -          -            TEST_END receiver: used
                  TEST_END: not re-printed by a terminate path
  FIGURE trial=1 proto=tcp source=TEST_END lines=63 rate="16040 Kbits/sec" rate_bps=16040000+/-500 end_s=29.87+/-0.005 transfer="57.1 MBytes" bytes=[59877458,59901242] rounding=the rate column is the figure, printed in steps of 1 Kbits/sec; the transfer column (steps of 0.1 MBytes, 1024-based) is checked, not used
RESULT: every trial has a TEST_END figure
