# looprun 1.3 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_raw/end_raw: absolute CLOCK_MONOTONIC_RAW, the clock console-capture 1.5 stamps on (1.2 wrote start_mono/end_mono, CLOCK_MONOTONIC: CLK-38).
# seconds = end_raw - start_raw.  rc is the command's exit status, empty for the in-process S5c, S8 and S9 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=P3Q attempt=1 iterations=2 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45 dwell-seconds=2.5
# clock=CLOCK_MONOTONIC_RAW boot_id=ef62493d-746f-4d68-8a64-8fb9717bc6cb clocksource=tsc start_raw=11093.361060 mono_at_start=11079.919943 start_real=1790275449.436155
round	stage	name	kind	start_raw	end_raw	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	11093.372800	11093.622151	0.249351	0	ok
1	S5b	burnflag	bench	11093.627648	11095.843191	2.215543	0	ok
1	S5c	hostlink	bench	11095.849075	11096.855048	1.005973		ok
1	S6	upload	bench	11096.861570	11098.757732	1.896162	0	ok
1	S6b	staged	bench	11098.761076	11100.968272	2.207195	0	ok
1	S7	boot	bench	11100.973403	11111.937445	10.964042	0	ok
1	S8	assert	desk	11111.946611	11111.946647	0.000036		ok
1	S9	dwell	bench	11111.950093	11114.437757	2.487664		ok
2	S4	reset	bench	11114.449743	11117.102616	2.652872	0	ok
2	S5	rescue	bench	11117.110576	11117.349985	0.239409	0	ok
2	S5b	burnflag	bench	11117.355999	11119.578757	2.222758	0	ok
2	S5c	hostlink	bench	11119.587087	11120.593626	1.006539		ok
2	S6	upload	bench	11120.605088	11122.494668	1.889581	0	ok
2	S6b	staged	bench	11122.498338	11124.708930	2.210591	0	ok
2	S7	boot	bench	11124.717767	11135.686110	10.968343	0	ok
2	S8	assert	desk	11135.697574	11135.697607	0.000033		ok
2	S9	dwell	bench	11135.700644	11138.186377	2.485733		ok
# end: end_raw=11138.191353 mono_at_end=11124.750365 end_real=1790275494.266577 clocksource_end=tsc
# status: closed -- 2 of 2 round(s), every assertion held
